horizon,seed,selected_left_weight,selected_val_mse,selected_val_mae,selected_test_mse,selected_test_mae,equal_test_mse,equal_test_mae,oracle_test_left_weight,oracle_test_mse,oracle_test_mae
90,1,0.7,0.6759256230811088,0.6445283710634293,0.3838936648308762,0.47911962011361997,0.37073414827862095,0.47517142347344715,0.5,0.37073414827862095,0.47517142347344715
90,2,1.0,0.6514001795446107,0.6244279863545124,0.4851126918579685,0.5425819346024682,0.35432725120587977,0.4622827414294558,0.5,0.35432725120587977,0.4622827414294558
90,3,1.0,0.7320926285024235,0.6710097685097004,0.43279793838821845,0.5100955931652216,0.37203951769752214,0.47959975827832524,0.6,0.3689811730144032,0.47454434363357995
90,4,1.0,0.7676024933027711,0.6917380929442598,0.439607664517538,0.5147597266992892,0.41120206551173455,0.4951522561756633,0.6,0.41097592244817893,0.4943639114491127
90,5,1.0,0.6357081716230547,0.6153041026266325,0.48963415107952485,0.5466456865599891,0.36590928240033854,0.47225961208461964,0.5,0.36590928240033854,0.47225961208461964
365,1,0.1,0.3689837069242515,0.4640334494816134,0.4218170251774899,0.5018138884474102,0.4170307023558786,0.5022374271566405,0.4,0.415881855730103,0.5005234780956488
365,2,0.2,0.3916945460874538,0.48259018578576784,0.4354143958061417,0.5094748018580214,0.4329275833404306,0.5073701871745918,0.4,0.43036547034659206,0.5057412402367731
365,3,0.4,0.3889066145625657,0.4769651088991815,0.4381672027452595,0.509127167490038,0.42696344590552304,0.5012559748555917,0.7,0.4159450648217498,0.4932456596487026
365,4,0.3,0.3630337452169409,0.463482863898458,0.44833706675619744,0.5182123919703925,0.4409258667143987,0.5152060238787878,0.6,0.44039435940030225,0.5158151862996904
365,5,0.3,0.37490725410446213,0.4676099926369878,0.4683436913041325,0.5296709271512682,0.5049675233011084,0.5558399938202081,0.0,0.4427697578381353,0.5084808815917866
