horizon,seed,split,left_weight,right_weight,mse,mae
90,1,val,0.0,1.0,0.7717593011533818,0.7101057091374569
90,1,test,0.0,1.0,0.47306068789650974,0.5576659119830533
90,1,val,0.1,0.9,0.7467474008495579,0.695379873776977
90,1,test,0.1,0.9,0.437141047017722,0.5320931821866696
90,1,val,0.2,0.8,0.7255093045847907,0.6819992532881212
90,1,test,0.2,0.8,0.4089485900914304,0.5102173376108563
90,1,val,0.3,0.7,0.7080449847682349,0.6704164639373623
90,1,test,0.3,0.7,0.38848327620681067,0.49286723908907
90,1,val,0.4,0.6,0.6943544649050054,0.6607679327804242
90,1,test,0.4,0.6,0.3757451350804952,0.48096520472929283
90,1,val,0.5,0.5,0.6844377250073683,0.6533111657688327
90,1,test,0.5,0.5,0.37073414827862095,0.47517142347344715
90,1,val,0.6,0.4,0.6782947809459198,0.6479398870901032
90,1,test,0.6,0.4,0.37345032610945283,0.47479896079442513
90,1,val,0.7,0.30000000000000004,0.6759256230811088,0.6445283710634293
90,1,test,0.7,0.30000000000000004,0.3838936648308762,0.47911962011361997
90,1,val,0.8,0.19999999999999996,0.6773302574919549,0.6430455500078802
90,1,test,0.8,0.19999999999999996,0.4020641677732144,0.48931488346647506
90,1,val,0.9,0.09999999999999998,0.6825086778584483,0.6439384048852753
90,1,test,0.9,0.09999999999999998,0.42796183326195497,0.5059171132024034
90,1,val,1.0,0.0,0.6914608927496876,0.6474290841683147
90,1,test,1.0,0.0,0.46158665944521776,0.5283448179723128
90,2,val,0.0,1.0,0.9267161769654441,0.7866509534048326
90,2,test,0.0,1.0,0.442102943934714,0.5376903422348125
90,2,val,0.1,0.9,0.877245452851664,0.7613144032637779
90,2,test,0.1,0.9,0.4070629070320626,0.5119271088097985
90,2,val,0.2,0.8,0.8326501124941335,0.7376760455364373
90,2,test,0.2,0.8,0.38076533456930844,0.4903047415964327
90,2,val,0.3,0.7,0.7929301071901773,0.7156659388808897
90,2,test,0.3,0.7,0.3632101910897978,0.4739003815745107
90,2,val,0.4,0.6,0.7580854803597529,0.6953028204375541
90,2,test,0.4,0.6,0.35439750112452334,0.4644740258011019
90,2,val,0.5,0.5,0.7281161940333595,0.6768355501064076
90,2,test,0.5,0.5,0.35432725120587977,0.4622827414294558
90,2,val,0.6,0.4,0.7030222750412131,0.6606859685206783
90,2,test,0.6,0.4,0.36299944829389064,0.46601682407703193
90,2,val,0.7,0.30000000000000004,0.6828037142159644,0.6469180969377749
90,2,test,0.7,0.30000000000000004,0.38041408901741175,0.47532124993886954
90,2,val,0.8,0.19999999999999996,0.6674605098171743,0.6360908146403667
90,2,test,0.8,0.19999999999999996,0.4065711782646888,0.49156533439156574
90,2,val,0.9,0.09999999999999998,0.6569926645882695,0.6284483117248528
90,2,test,0.9,0.09999999999999998,0.4414707131403785,0.5144247499111038
90,2,val,1.0,0.0,0.6514001795446107,0.6244279863545124
90,2,test,1.0,0.0,0.4851126918579685,0.5425819346024682
90,3,val,0.0,1.0,1.145785473822442,0.878738225883364
90,3,test,0.0,1.0,0.5014064672126805,0.5790782675933098
90,3,val,0.1,0.9,1.069043076352167,0.8457524384895839
90,3,test,0.1,0.9,0.46032303671564506,0.5508554464174783
90,3,val,0.2,0.8,1.0001614107930972,0.8151861868251354
90,3,test,0.2,0.8,0.42684464825421725,0.5260817066536214
90,3,val,0.3,0.7,0.9391403903924198,0.7870854482759088
90,3,test,0.3,0.7,0.4009712511836806,0.5055212189241487
90,3,val,0.4,0.6,0.8859800935572324,0.7616979445914381
90,3,test,0.4,0.6,0.3827028835144127,0.48994789359918167
90,3,val,0.5,0.5,0.8406804518509432,0.7389213411090855
90,3,test,0.5,0.5,0.37203951769752214,0.47959975827832524
90,3,val,0.6,0.4,0.803241516244595,0.718576110997611
90,3,test,0.6,0.4,0.3689811730144032,0.47454434363357995
90,3,val,0.7,0.30000000000000004,0.7736632618061482,0.7009997783811995
90,3,test,0.7,0.30000000000000004,0.3735278407742165,0.4743778141089225
90,3,val,0.8,0.19999999999999996,0.7519456967511196,0.6867313257956985
90,3,test,0.8,0.19999999999999996,0.3856795249469704,0.4801562273161818
90,3,val,0.9,0.09999999999999998,0.7380888143440748,0.6766086104855671
90,3,test,0.9,0.09999999999999998,0.40543622456511313,0.4922022765519898
90,3,val,1.0,0.0,0.7320926285024235,0.6710097685097004
90,3,test,1.0,0.0,0.43279793838821845,0.5100955931652216
90,4,val,0.0,1.0,0.9890704889378097,0.8149451477401851
90,4,test,0.0,1.0,0.45663723119459027,0.5279430522217567
90,4,val,0.1,0.9,0.9470744492228762,0.7945531447227842
90,4,test,0.1,0.9,0.4416429361072973,0.5177160826533305
90,4,val,0.2,0.8,0.9094893785581575,0.775731697150707
90,4,test,0.2,0.8,0.429602273239571,0.5092764064229223
90,4,val,0.3,0.7,0.8763152197288757,0.7586103024195934
90,4,test,0.3,0.7,0.4205152392979623,0.5026616619729978
90,4,val,0.4,0.6,0.8475520243279869,0.7432735100488996
90,4,test,0.4,0.6,0.41438183650100396,0.4980012000937591
90,4,val,0.5,0.5,0.8231997448431667,0.7297261948515631
90,4,test,0.5,0.5,0.41120206551173455,0.4951522561756633
90,4,val,0.6,0.4,0.8032584210673352,0.7179083669828776
90,4,test,0.6,0.4,0.41097592244817893,0.4943639114491127
90,4,val,0.7,0.30000000000000004,0.787728026924492,0.7079064242068464
90,4,test,0.7,0.30000000000000004,0.4137034126960889,0.49601441772579763
90,4,val,0.8,0.19999999999999996,0.7766085781809589,0.6999637242081999
90,4,test,0.8,0.19999999999999996,0.4193845326866757,0.5000341017603498
90,4,val,0.9,0.09999999999999998,0.7699000600945858,0.6944883832894019
90,4,test,0.9,0.09999999999999998,0.4280192837510852,0.5063636806646596
90,4,val,1.0,0.0,0.7676024933027711,0.6917380929442598
90,4,test,1.0,0.0,0.439607664517538,0.5147597266992892
90,5,val,0.0,1.0,1.0071978530359016,0.824485338690936
90,5,test,0.0,1.0,0.48595088240577494,0.5688517785641877
90,5,val,0.1,0.9,0.9402860515187007,0.7922579717613701
90,5,test,0.1,0.9,0.442441235093924,0.5383436623750913
90,5,val,0.2,0.8,0.8799882409181127,0.7621573765996726
90,5,test,0.2,0.8,0.40868227042390615,0.5122904261124146
90,5,val,0.3,0.7,0.8263043605493329,0.7341293451442167
90,5,test,0.3,0.7,0.38467394379013414,0.49140352999923576
90,5,val,0.4,0.6,0.7792344659784093,0.7082436550689545
90,5,test,0.4,0.6,0.3704162872045017,0.47794935497592816
90,5,val,0.5,0.5,0.738778509108686,0.6847205414492741
90,5,test,0.5,0.5,0.36590928240033854,0.47225961208461964
90,5,val,0.6,0.4,0.7049365222928766,0.6638872292160707
90,5,test,0.6,0.4,0.37115293766210994,0.47289542696298487
90,5,val,0.7,0.30000000000000004,0.6777084963243446,0.6461089558232461
90,5,test,0.7,0.30000000000000004,0.386147251018409,0.4794360517851099
90,5,val,0.8,0.19999999999999996,0.6570944260991815,0.6317153580846081
90,5,test,0.8,0.19999999999999996,0.4108922258266982,0.4942483728269676
90,5,val,0.9,0.09999999999999998,0.6430943186334966,0.6212563508604307
90,5,test,0.9,0.09999999999999998,0.44538785967811506,0.5169448088888727
90,5,val,1.0,0.0,0.6357081716230547,0.6153041026266325
90,5,test,1.0,0.0,0.48963415107952485,0.5466456865599891
365,1,val,0.0,1.0,0.36955434727152364,0.4644835848760023
365,1,test,0.0,1.0,0.42692265845603933,0.5043851308527605
365,1,val,0.1,0.9,0.3689837069242515,0.4640334494816134
365,1,test,0.1,0.9,0.4218170251774899,0.5018138884474102
365,1,val,0.2,0.8,0.3698949868858444,0.46467255642775857
365,1,test,0.2,0.8,0.41827501693924923,0.5003047916029199
365,1,val,0.3,0.7,0.3722881923933553,0.4664111028092528
365,1,test,0.3,0.7,0.41629662435014264,0.49987737412311417
365,1,val,0.4,0.6,0.37616331792897395,0.469248603460456
365,1,test,0.4,0.6,0.415881855730103,0.5005234780956488
365,1,val,0.5,0.5,0.38152037059448585,0.4731572392140696
365,1,test,0.5,0.5,0.4170307023558786,0.5022374271566405
365,1,val,0.6,0.4,0.38835934310545767,0.47815510812115514
365,1,test,0.6,0.4,0.4197431750388644,0.5048916180789338
365,1,val,0.7,0.30000000000000004,0.396680239867524,0.4843183536449531
