model,horizon,seed,split,mse,mae,run_dir,config_path,prediction_path
lstm,365,1,train,0.5153640624320716,0.5477047124081569,results/official_runs/official_lstm_h365/seed_1,results/official_runs/official_lstm_h365/seed_1/config.yaml,results/official_runs/official_lstm_h365/seed_1/predictions_test.npz
lstm,365,1,val,0.4305344692741474,0.508880375539962,results/official_runs/official_lstm_h365/seed_1,results/official_runs/official_lstm_h365/seed_1/config.yaml,results/official_runs/official_lstm_h365/seed_1/predictions_test.npz
lstm,365,1,test,0.44622925094728,0.5234545074684664,results/official_runs/official_lstm_h365/seed_1,results/official_runs/official_lstm_h365/seed_1/config.yaml,results/official_runs/official_lstm_h365/seed_1/predictions_test.npz
lstm,365,2,train,0.5487775644771777,0.5645969251339938,results/official_runs/official_lstm_h365/seed_2,results/official_runs/official_lstm_h365/seed_2/config.yaml,results/official_runs/official_lstm_h365/seed_2/predictions_test.npz
lstm,365,2,val,0.451350031052105,0.5208419873940258,results/official_runs/official_lstm_h365/seed_2,results/official_runs/official_lstm_h365/seed_2/config.yaml,results/official_runs/official_lstm_h365/seed_2/predictions_test.npz
lstm,365,2,test,0.4966039360891407,0.547845952842652,results/official_runs/official_lstm_h365/seed_2,results/official_runs/official_lstm_h365/seed_2/config.yaml,results/official_runs/official_lstm_h365/seed_2/predictions_test.npz
lstm,365,3,train,0.5311073381327762,0.5551556500161483,results/official_runs/official_lstm_h365/seed_3,results/official_runs/official_lstm_h365/seed_3/config.yaml,results/official_runs/official_lstm_h365/seed_3/predictions_test.npz
lstm,365,3,val,0.4194726969043741,0.4965448603415537,results/official_runs/official_lstm_h365/seed_3,results/official_runs/official_lstm_h365/seed_3/config.yaml,results/official_runs/official_lstm_h365/seed_3/predictions_test.npz
lstm,365,3,test,0.427890308235183,0.5011065018271273,results/official_runs/official_lstm_h365/seed_3,results/official_runs/official_lstm_h365/seed_3/config.yaml,results/official_runs/official_lstm_h365/seed_3/predictions_test.npz
lstm,365,4,train,0.5133271713918464,0.5474991199976907,results/official_runs/official_lstm_h365/seed_4,results/official_runs/official_lstm_h365/seed_4/config.yaml,results/official_runs/official_lstm_h365/seed_4/predictions_test.npz
lstm,365,4,val,0.4066663282402092,0.49284731222068834,results/official_runs/official_lstm_h365/seed_4,results/official_runs/official_lstm_h365/seed_4/config.yaml,results/official_runs/official_lstm_h365/seed_4/predictions_test.npz
lstm,365,4,test,0.4594289067506983,0.5317451342179933,results/official_runs/official_lstm_h365/seed_4,results/official_runs/official_lstm_h365/seed_4/config.yaml,results/official_runs/official_lstm_h365/seed_4/predictions_test.npz
lstm,365,5,train,0.5206040677390382,0.5492595856811032,results/official_runs/official_lstm_h365/seed_5,results/official_runs/official_lstm_h365/seed_5/config.yaml,results/official_runs/official_lstm_h365/seed_5/predictions_test.npz
lstm,365,5,val,0.39434279138351586,0.4839558369829072,results/official_runs/official_lstm_h365/seed_5,results/official_runs/official_lstm_h365/seed_5/config.yaml,results/official_runs/official_lstm_h365/seed_5/predictions_test.npz
lstm,365,5,test,0.6650380195885095,0.6506508182670419,results/official_runs/official_lstm_h365/seed_5,results/official_runs/official_lstm_h365/seed_5/config.yaml,results/official_runs/official_lstm_h365/seed_5/predictions_test.npz
lstm,90,1,train,0.7163454307339081,0.6531420469315758,results/official_runs/official_lstm_h90/seed_1,results/official_runs/official_lstm_h90/seed_1/config.yaml,results/official_runs/official_lstm_h90/seed_1/predictions_test.npz
lstm,90,1,val,0.6914608927422047,0.6474290841567073,results/official_runs/official_lstm_h90/seed_1,results/official_runs/official_lstm_h90/seed_1/config.yaml,results/official_runs/official_lstm_h90/seed_1/predictions_test.npz
lstm,90,1,test,0.46158665948570426,0.5283448179572809,results/official_runs/official_lstm_h90/seed_1,results/official_runs/official_lstm_h90/seed_1/config.yaml,results/official_runs/official_lstm_h90/seed_1/predictions_test.npz
lstm,90,2,train,0.7188550410386996,0.6564396617832621,results/official_runs/official_lstm_h90/seed_2,results/official_runs/official_lstm_h90/seed_2/config.yaml,results/official_runs/official_lstm_h90/seed_2/predictions_test.npz
lstm,90,2,val,0.6514001795441119,0.6244279863490372,results/official_runs/official_lstm_h90/seed_2,results/official_runs/official_lstm_h90/seed_2/config.yaml,results/official_runs/official_lstm_h90/seed_2/predictions_test.npz
lstm,90,2,test,0.4851126918551814,0.5425819346141234,results/official_runs/official_lstm_h90/seed_2,results/official_runs/official_lstm_h90/seed_2/config.yaml,results/official_runs/official_lstm_h90/seed_2/predictions_test.npz
lstm,90,3,train,0.6990424329188576,0.6440119892902124,results/official_runs/official_lstm_h90/seed_3,results/official_runs/official_lstm_h90/seed_3/config.yaml,results/official_runs/official_lstm_h90/seed_3/predictions_test.npz
lstm,90,3,val,0.732092628515835,0.6710097685440398,results/official_runs/official_lstm_h90/seed_3,results/official_runs/official_lstm_h90/seed_3/config.yaml,results/official_runs/official_lstm_h90/seed_3/predictions_test.npz
lstm,90,3,test,0.43279793840240754,0.5100955932209921,results/official_runs/official_lstm_h90/seed_3,results/official_runs/official_lstm_h90/seed_3/config.yaml,results/official_runs/official_lstm_h90/seed_3/predictions_test.npz
lstm,90,4,train,0.7063032129623529,0.6471209253406467,results/official_runs/official_lstm_h90/seed_4,results/official_runs/official_lstm_h90/seed_4/config.yaml,results/official_runs/official_lstm_h90/seed_4/predictions_test.npz
lstm,90,4,val,0.7676024933209795,0.6917380929599735,results/official_runs/official_lstm_h90/seed_4,results/official_runs/official_lstm_h90/seed_4/config.yaml,results/official_runs/official_lstm_h90/seed_4/predictions_test.npz
lstm,90,4,test,0.4396076645119061,0.5147597267792413,results/official_runs/official_lstm_h90/seed_4,results/official_runs/official_lstm_h90/seed_4/config.yaml,results/official_runs/official_lstm_h90/seed_4/predictions_test.npz
lstm,90,5,train,0.7257554073681504,0.6600181965751626,results/official_runs/official_lstm_h90/seed_5,results/official_runs/official_lstm_h90/seed_5/config.yaml,results/official_runs/official_lstm_h90/seed_5/predictions_test.npz
lstm,90,5,val,0.6357081716325038,0.6153041026305746,results/official_runs/official_lstm_h90/seed_5,results/official_runs/official_lstm_h90/seed_5/config.yaml,results/official_runs/official_lstm_h90/seed_5/predictions_test.npz
