model,horizon,split,mse,mae
last_value,90,train,1.2729209509030373,0.8788120381937514
input_mean,90,train,1.1267153467704274,0.8565556850081449
last_value,90,val,0.9738201480720695,0.7856974047139864
input_mean,90,val,1.0489711894923606,0.8356986180959524
last_value,90,test,0.9235718101890339,0.7578899961904546
input_mean,90,test,0.7364947130200539,0.7117962824966492
last_value,365,train,1.809314868796145,1.060461019401101
input_mean,365,train,1.1879961386899247,0.858773380363646
last_value,365,val,1.108697134966197,0.8395490912726552
input_mean,365,val,0.8285774443876835,0.7379566572809784
last_value,365,test,1.4312939103849867,0.9605459904654785
input_mean,365,test,1.0365015315497361,0.8178525390057159
